CENTROS;KWH ACTIVOS;KWH LLANO;KWH VALLE;KWH PUNTA
Alumbrado Público Barriadas;132257;99869;990554;276329
Alumbrado Público Polígono Borondo;4030;17017;89530;23374
Alumbrado Público Polígono Finanzauto;3902;71296;298404;82956
Alumbrado Público Polígono Guijar;10532;30570;351570;109049
Alumbrado Público Polígono El Malvar;0;0;100147;34841
Alumbrado Público Polígono El Olivar;0;6776;35182;9729
Alumbrado Público Pueblo;0;193220;719973;189774
Alumbrado Público Urbanizaciones Pueblo;168838;122979;638918;183115
Alumbrado Público Urbanizaciones Villas Del Soto;0;0;19821;5524
Alumbrado Público Urbanizacion Los Olivos;0;0;30746;8555
Alumbrado Público Polígono Velasco;0;0;25641;8115
