X,Y,OBJECTID,Código,Nº_de_cent,Calle,Tipo_de_ví,Clase_de_a,Anchura_de,Disposició,Interdista,Nº_de_lumi,Tipo_de_so,Altura__m_,Luminaria,Tipo_de_lá,Potencia_d,Equipo_aux,Equipo_de,Uso_de_lám,Tipo_de__1,Potencia_1,Equipo_a_1,Equipo_d_1,Uso_de_l_1,Tipo_de_Pr,Luminari_1,Lámpara_pr,Equipo_d_2,Equipo_d_3,Municipio,POTENCIA_L1,POTENCIA_L2,POTENCIA_F,CENTRO_DE_MANDO
228336.139587808,3167689.28987505,457,1002,CM-001,Callejon de Judas,B1,ME5,4,Unilateral,40,1,Brazo Simple,6,Viaria con cierre vidrio plano (tipo I),VSBP,35,EM,NO,Noche entera,-,-,-,-,-,Cambio luminaria,PC Ámbar,PC Ámbar-49,EL,TGP,Villa de Mazo,35,,49,"Pueblo Norte, Camino Judas "
228312.999582642,3167706.30036762,458,1001,CM-001,Callejon de Judas,B1,ME5,4,Unilateral,40,1,Brazo Simple,6,Viaria con cierre vidrio plano (tipo I),VSBP,35,EM,NO,Noche entera,-,-,-,-,-,Cambio luminaria,PC Ámbar,PC Ámbar-49,EL,TGP,Villa de Mazo,35,,49,"Pueblo Norte, Camino Judas "
228392.539247681,3167719.44992212,459,1003,CM-001,Callejon de Judas,B1,ME5,4,Unilateral,40,1,Brazo Simple,6,Viaria con cierre vidrio plano (tipo I),VSBP,35,EM,NO,Noche entera,-,-,-,-,-,Cambio luminaria,PC Ámbar,PC Ámbar-49,EL,TGP,Villa de Mazo,35,,49,"Pueblo Norte, Camino Judas "
228388.830766064,3167775.74482677,460,1004,CM-001,Callejon de Judas,B1,ME5,4,Unilateral,40,1,Brazo Simple,6,Viaria con cierre vidrio plano (tipo I),VSBP,35,EM,NO,Noche entera,-,-,-,-,-,Cambio luminaria,PC Ámbar,PC Ámbar-49,EL,TGP,Villa de Mazo,35,,49,"Pueblo Norte, Camino Judas "
228390.099301054,3167832.18291752,461,1005,CM-001,Callejon de Judas,B1,ME5,4,Unilateral,40,1,Brazo Simple,6,Viaria con cierre vidrio plano (tipo I),VSBP,35,EM,NO,Noche entera,-,-,-,-,-,Cambio luminaria,PC Ámbar,PC Ámbar-49,EL,TGP,Villa de Mazo,35,,49,"Pueblo Norte, Camino Judas "
228390.829182642,3167865.99046761,462,1006,CM-001,Callejon de Judas,B1,ME5,4,Unilateral,40,1,Brazo Simple,6,Viaria con cierre vidrio plano (tipo I),VSBP,35,EM,NO,Noche entera,-,-,-,-,-,Cambio luminaria,PC Ámbar,PC Ámbar-49,EL,TGP,Villa de Mazo,35,,49,"Pueblo Norte, Camino Judas "
228298.215681812,3167719.03695152,463,1016,CM-001,Travesia Maximiliano Perez Diaz,D3-D4,S4,8,Unilateral,25,1,Báculo,6,Viaria con cierre vidrio plano (tipo I),VSBP,35,EM,NO,Noche entera,-,-,-,-,-,Cambio luminaria,PC Ámbar,PC Ámbar-32,EL,TGP,Villa de Mazo,35,,32,"Pueblo Norte, Camino Judas "
228306.679582641,3167735.24036761,464,1015,CM-001,Travesia Maximiliano Perez Diaz,D3-D4,S4,8,Unilateral,25,1,Báculo,6,Viaria con cierre vidrio plano (tipo I),VSBP,35,EM,NO,Noche entera,-,-,-,-,-,Cambio luminaria,PC Ámbar,PC Ámbar-32,EL,TGP,Villa de Mazo,35,,32,"Pueblo Norte, Camino Judas "
228311.359582641,3167779.00036761,465,1014,CM-001,Travesia Maximiliano Perez Diaz,D3-D4,S4,8,Unilateral,25,1,Báculo,6,Viaria con cierre vidrio plano (tipo I),VSBP,35,EM,NO,Noche entera,-,-,-,-,-,Cambio luminaria,PC Ámbar,PC Ámbar-32,EL,TGP,Villa de Mazo,35,,32,"Pueblo Norte, Camino Judas "
228297.929582641,3167814.78036761,466,1013,CM-001,Travesia Maximiliano Perez Diaz,D3-D4,S4,8,Unilateral,25,1,Báculo,6,Viaria con cierre vidrio plano (tipo I),VSBP,35,EM,NO,Noche entera,-,-,-,-,-,Cambio luminaria,PC Ámbar,PC Ámbar-32,EL,TGP,Villa de Mazo,35,,32,"Pueblo Norte, Camino Judas "
228275.799582642,3167844.64036762,467,1011,CM-001,Travesia Maximiliano Perez Diaz,D3-D4,S4,8,Unilateral,25,1,Báculo,6,Viaria con cierre vidrio plano (tipo I),VSBP,35,EM,NO,Noche entera,-,-,-,-,-,Cambio luminaria,PC Ámbar,PC Ámbar-32,EL,TGP,Villa de Mazo,35,,32,"Pueblo Norte, Camino Judas "
228280.549582642,3167847.22036762,468,1012,CM-001,Travesia Maximiliano Perez Diaz,D3-D4,S4,8,Unilateral,25,1,Báculo,6,Viaria con cierre vidrio plano (tipo I),VSBP,35,EM,NO,Noche entera,-,-,-,-,-,Cambio luminaria,PC Ámbar,PC Ámbar-32,EL,TGP,Villa de Mazo,35,,32,"Pueblo Norte, Camino Judas "
228283.15966358,3167682.06061009,469,1017,CM-001,Travesia Maximiliano Perez Diaz,D3-D4,S4,8,Unilateral,25,1,Báculo,6,Viaria con cierre vidrio plano (tipo I),VSBP,35,EM,NO,Noche entera,-,-,-,-,-,Cambio luminaria,PC Ámbar,PC Ámbar-32,EL,TGP,Villa de Mazo,35,,32,"Pueblo Norte, Camino Judas "
228274.389582641,3167650.00036761,470,1018,CM-001,Travesia Maximiliano Perez Diaz,D3-D4,S4,8,Unilateral,25,1,Báculo,6,Viaria con cierre vidrio plano (tipo I),VSBP,35,EM,NO,Noche entera,-,-,-,-,-,Cambio luminaria,PC Ámbar,PC Ámbar-32,EL,TGP,Villa de Mazo,35,,32,"Pueblo Norte, Camino Judas "
228269.140198647,3167612.67036761,471,1019,CM-001,Travesia Maximiliano Perez Diaz,D3-D4,S4,8,Unilateral,25,1,Báculo,6,Viaria con cierre vidrio plano (tipo I),VSBP,35,EM,NO,Noche entera,-,-,-,-,-,Cambio luminaria,PC Ámbar,PC Ámbar-32,EL,TGP,Villa de Mazo,35,,32,"Pueblo Norte, Camino Judas "
228270.76958264,3167576.25282565,472,1020,CM-001,Travesia Maximiliano Perez Diaz,D3-D4,S4,8,Unilateral,25,1,Báculo,6,Viaria con cierre vidrio plano (tipo I),VSBP,35,EM,NO,Noche entera,-,-,-,-,-,Cambio luminaria,PC Ámbar,PC Ámbar-32,EL,TGP,Villa de Mazo,35,,32,"Pueblo Norte, Camino Judas "
228271.559582641,3167517.20036762,473,1023,CM-001,Travesia Maximiliano Perez Diaz,D3-D4,S4,8,Unilateral,25,1,Báculo,6,Viaria con cierre vidrio plano (tipo I),VSBP,35,EM,NO,Noche entera,-,-,-,-,-,Cambio luminaria,PC Ámbar,PC Ámbar-32,EL,TGP,Villa de Mazo,35,,32,"Pueblo Norte, Camino Judas "
228270.839582642,3167566.56036761,474,1021,CM-001,Travesia Maximiliano Perez Diaz,D3-D4,S4,8,Unilateral,25,1,Báculo,6,Viaria con cierre vidrio plano (tipo I),VSBP,35,EM,NO,Noche entera,-,-,-,-,-,Cambio luminaria,PC Ámbar,PC Ámbar-32,EL,TGP,Villa de Mazo,35,,32,"Pueblo Norte, Camino Judas "
228271.399582641,3167539.80036761,475,1022,CM-001,Travesia Maximiliano Perez Diaz,D3-D4,S4,8,Unilateral,25,1,Báculo,6,Viaria con cierre vidrio plano (tipo I),VSBP,35,EM,NO,Noche entera,-,-,-,-,-,Cambio luminaria,PC Ámbar,PC Ámbar-32,EL,TGP,Villa de Mazo,35,,32,"Pueblo Norte, Camino Judas "
228249.889582641,3167521.63286761,476,1113,CM-001,General Mola,B1,ME5,6,Unilateral,20,1,Brazo Simple,6,Artística con Reflector,VSBP,35,EM,NO,Noche entera,-,-,-,-,-,Cambio luminaria,PC Ámbar,PC Ámbar-32,EL,TGP,Villa de Mazo,35,,32,"Pueblo Norte, Camino Judas "
228220.959616351,3167524.26036753,477,1112,CM-001,General Mola,B1,ME5,6,Unilateral,20,1,Brazo Simple,6,Artística con Reflector,VSBP,35,EM,NO,Noche entera,-,-,-,-,-,Cambio luminaria,PC Ámbar,PC Ámbar-32,EL,TGP,Villa de Mazo,35,,32,"Pueblo Norte, Camino Judas "
228232.109582641,3167742.93036762,478,1061,CM-001,Plaza Mazo,E1-E2,S4,10,Bilateral,20,1,Directo,"0,5",Baliza,BC,23,EM,NO,Noche entera,-,-,-,-,-,Cambio lámpara+equipo,Baliza,L_Bulb-13,EL,NO,Villa de Mazo,23,,13,"Pueblo Norte, Camino Judas "
228244.669582641,3167758.41036762,479,1060,CM-001,Plaza Mazo,E1-E2,S4,10,Bilateral,20,1,Directo,"0,5",Baliza,BC,23,EM,NO,Noche entera,-,-,-,-,-,Cambio lámpara+equipo,Baliza,L_Bulb-13,EL,NO,Villa de Mazo,23,,13,"Pueblo Norte, Camino Judas "
228257.029582641,3167745.11036761,480,1062,CM-001,Plaza Mazo,E1-E2,S4,10,Bilateral,20,1,Directo,"0,5",Baliza,BC,23,EM,NO,Noche entera,-,-,-,-,-,Cambio lámpara+equipo,Baliza,L_Bulb-13,EL,NO,Villa de Mazo,23,,13,"Pueblo Norte, Camino Judas "
228242.039582642,3167732.16036761,481,1063,CM-001,Plaza Mazo,E1-E2,S4,10,Bilateral,20,1,Directo,"0,5",Baliza,BC,23,EM,NO,Noche entera,-,-,-,-,-,Cambio lámpara+equipo,Baliza,L_Bulb-13,EL,NO,Villa de Mazo,23,,13,"Pueblo Norte, Camino Judas "
228245.505101861,3167721.87901363,482,1122,CM-001,Jose Antonio Primo de Rivera,B1,ME5,7,Unilateral,30,1,Columna,4,Artística con Reflector,VSBP,35,EM,NO,Noche entera,-,-,-,-,-,Cambio luminaria,PC Ámbar,PC Ámbar-32,EL,TGP,Villa de Mazo,35,,32,"Pueblo Norte, Camino Judas "
228266.819582641,3167743.59036762,483,1123,CM-001,Jose Antonio Primo de Rivera,B1,ME5,7,Unilateral,30,1,Columna,4,Artística con Reflector,VSBP,35,EM,NO,Noche entera,-,-,-,-,-,Cambio luminaria,PC Ámbar,PC Ámbar-32,EL,TGP,Villa de Mazo,35,,32,"Pueblo Norte, Camino Judas "
228266.819582641,3167778.62664467,484,1124,CM-001,Jose Antonio Primo de Rivera,B1,ME5,7,Unilateral,30,1,Columna,4,Artística con Reflector,VSBP,35,EM,NO,Noche entera,-,-,-,-,-,Cambio luminaria,PC Ámbar,PC Ámbar-32,EL,TGP,Villa de Mazo,35,,32,"Pueblo Norte, Camino Judas "
228263.59958264,3167802.00036761,485,1125,CM-001,Jose Antonio Primo de Rivera,B1,ME5,7,Unilateral,30,1,Columna,4,Artística con Reflector,VSBP,35,EM,NO,Noche entera,-,-,-,-,-,Cambio luminaria,PC Ámbar,PC Ámbar-32,EL,TGP,Villa de Mazo,35,,32,"Pueblo Norte, Camino Judas "
228235.783181016,3167764.75747778,486,1042,CM-001,Carretera General Mazo 2,D3-D4,S4,8,Unilateral,20,1,Báculo,8,Viaria con cierre vidrio plano (tipo I),VSBP,55,EM,NO,Noche entera,-,-,-,-,-,Cambio luminaria,PC Ámbar,PC Ámbar-32,EL,TGP,Villa de Mazo,55,,32,"Pueblo Norte, Camino Judas "
228253.189582641,3167785.39036761,487,1041,CM-001,Carretera General Mazo 2,D3-D4,S4,8,Unilateral,20,1,Báculo,8,Viaria con cierre vidrio plano (tipo I),VSBP,55,EM,NO,Noche entera,-,-,-,-,-,Cambio luminaria,PC Ámbar,PC Ámbar-32,EL,TGP,Villa de Mazo,55,,32,"Pueblo Norte, Camino Judas "
228248.61958264,3167810.80036762,488,1040,CM-001,Carretera General Mazo 2,D3-D4,S4,8,Unilateral,20,1,Báculo,8,Viaria con cierre vidrio plano (tipo I),VSBP,55,EM,NO,Noche entera,-,-,-,-,-,Cambio luminaria,PC Ámbar,PC Ámbar-32,EL,TGP,Villa de Mazo,55,,32,"Pueblo Norte, Camino Judas "
