tipo_bloqu;TIPOL;VIA_CLASE;VIA_PAR;VIA_NOMBRE;CLASE_APP;NUMERO;COD_NDP;DISTRITO;BARRIO;X_UTM;Y_UTM
GLED001;LED;CALLE;DE;RAMIREZ DE ARELLANO;NUMERO;17;11111337;15;6;444452,08810000000;4477769,81890000000
GLED001;LED;CALLE;DE;RAMIREZ DE ARELLANO;NUMERO;23;20163842;15;6;444323,21050000000;4477737,04380000000
GLED001;LED;CALLE;DE;RAMIREZ DE ARELLANO;NUMERO;17;11111337;15;6;444465,02720000000;4477772,90670000000
GLED001;LED;CALLE;DE;RAMIREZ DE ARELLANO;NUMERO;21;11111338;15;6;444389,47120000000;4477753,85290000000
GLED001;LED;CALLE;DE;RAMIREZ DE ARELLANO;NUMERO;19;11111347;15;6;444430,72030000000;4477763,96220000000
LBE120;LED-DESCARGA;AVENIDA;DE;RAFAEL ALBERTI;NUMERO;51;11096233;13;4;445282,60750000000;4470434,23710000000
LBE120;LED-DESCARGA;AVENIDA;DE;RAFAEL ALBERTI;NUMERO;57;11096236;13;4;445235,65370000000;4470417,06290000000
LBE120;LED-DESCARGA;CALLE;DE;JAVIER DE MIGUEL;NUMERO;115;20099358;13;3;444332,48670000000;4470697,42920000000
LBE120;LED-DESCARGA;CALLE;DE;JAVIER DE MIGUEL;NUMERO;111;20099354;13;3;444300,81290000000;4470746,19700000000
LBE120;LED-DESCARGA;CALLE;DE;JAVIER DE MIGUEL;NUMERO;113;20099356;13;3;444316,65000000000;4470721,81310000000
